wkt_geom;generator:source;generator:output
Point (8.83343570000000078 53.77319380000000137);wind;500
Point (8.83582930000000033 53.77610430000000008);wind;500
Point (8.83106079999999949 53.77036549999999693);wind;500
Point (8.8364136000000002 53.76985890000000268);wind;500
Point (8.83709230000000012 53.77763660000000101);wind;500
Point (8.83889019999999981 53.77261330000000328);wind;500
Point (8.83758100000000013 53.77125999999999806);wind;500
Point (8.84122769999999925 53.77541850000000068);wind;500
Point (8.84005720000000039 53.77402349999999842);wind;500
Point (8.8272908000000001 53.78052929999999776);wind;600
Point (8.84519260000000074 53.77325830000000195);wind;500
Point (8.82506549999999912 53.77782700000000204);wind;600
Point (8.82380560000000003 53.77650280000000294);wind;600
Point (8.82212149999999973 53.78150769999999881);wind;600
Point (8.82619470000000028 53.77919130000000081);wind;600
Point (8.81854329999999997 53.77719499999999897);wind;600
Point (8.82092029999999916 53.78007219999999933);wind;600
Point (8.81635819999999981 53.780555200000002);wind;600
Point (8.81785619999999959 53.78232789999999852);wind;600
Point (8.81342539999999985 53.77701359999999653);wind;600
Point (8.81974280000000022 53.77863289999999807);wind;600
Point (8.81026690000000023 53.78022990000000192);wind;600
Point (8.81491310000000006 53.77878539999999674);wind;600
Point (8.81275759999999941 53.78325379999999711);wind;600
Point (8.80886620000000065 53.77853919999999732);wind;600
Point (10.48455079999999917 53.80550699999999864);wind;80
Point (8.81146580000000057 53.78167919999999924);wind;600
Point (9.79513249999999935 53.50300870000000231);wind;
Point (9.79416989999999998 53.50114779999999826);wind;
Point (8.7058712000000007 54.78425440000000179);wind;3.6
Point (10.79111980000000059 54.08984170000000091);wind;600
Point (8.71026999999999951 54.77907410000000255);wind;3.6
Point (8.70810200000000023 54.78168130000000247);wind;3.6
Point (8.7005315999999997 54.78209059999999653);wind;3.6
Point (8.70273300000000027 54.77949329999999861);wind;3.6
Point (8.6954937000000001 54.78700700000000268);wind;3.6
Point (8.69762159999999973 54.78440630000000056);wind;3.6
Point (8.92746059999999986 54.60250020000000148);wind;2
Point (10.17116290000000056 53.81797989999999743);biogas;yes
Point (10.33729590000000087 54.36726900000000029);wind;
Point (8.93245860000000036 54.60361269999999934);wind;2
Point (8.38404369999999943 53.49351000000000056);wind;
Point (10.34494759999999935 54.36582599999999843);wind;
Point (8.36421900000000029 53.4842039999999983);wind;
Point (8.36506619999999934 53.48655360000000059);wind;
Point (8.38100569999999934 53.48593389999999914);wind;
Point (8.37688400000000044 53.48682529999999957);wind;
Point (8.37310560000000059 53.4874367000000035);wind;
Point (8.36894900000000064 53.48573160000000115);wind;
Point (8.38120400000000032 53.4840761000000029);wind;
Point (8.36947589999999941 53.48831529999999645);wind;
Point (8.37989080000000008 53.48257459999999952);wind;
Point (8.37783869999999986 53.48462260000000157);wind;
Point (10.34887799999999913 54.36513839999999931);wind;
Point (8.83701680000000067 53.83159870000000069);wind;330
Point (10.43412099999999931 54.38327389999999895);wind;
Point (10.43633349999999993 54.38194860000000119);wind;
Point (8.96013690000000018 54.5703914999999995);wind;2
Point (10.39834420000000037 54.35986909999999739);wind;1.5
Point (11.10396809999999945 53.75540110000000027);wind;
Point (8.9602839000000003 54.59092239999999663);wind;2
Point (8.57991409999999988 53.82546299999999917);wind;
Point (9.70764469999999946 55.02596940000000103);wind;yes
Point (10.79375959999999957 54.09619);waste;
Point (9.70804659999999942 54.64414589999999805);wind;
Point (10.14555780000000063 54.46322829999999726);wind;
Point (9.34988539999999979 54.80196409999999929);wind;
Point (9.61073249999999923 53.82308720000000335);wind;
Point (9.60663150000000066 53.82439740000000228);wind;
Point (9.28125009999999939 53.60255409999999898);wind;1.65
Point (9.61369960000000034 53.82130200000000286);wind;
Point (8.91879220000000039 53.78874799999999823);wind;
Point (8.9237649999999995 53.78709299999999871);wind;
Point (8.91632459999999938 53.78328030000000126);wind;
Point (8.92125509999999977 53.782433300000001);wind;
Point (8.91133759999999953 53.78471040000000158);wind;
Point (8.91633400000000087 53.7857685000000032);wind;
Point (9.3533729000000001 54.11433079999999762);wind;
Point (10.07429229999999976 53.53136359999999883);waste;yes
Point (9.59066800000000086 53.73712679999999864);wind;1.5
Point (9.60466500000000067 53.74072590000000105);wind;1.5
Point (9.59532959999999946 53.73725869999999816);wind;1.5
Point (9.60060520000000039 53.73860400000000226);wind;1.5
Point (10.46069870000000002 54.3532851000000008);wind;
Point (10.46015709999999999 54.35485829999999652);wind;
Point (10.39216880000000032 54.83170369999999849);wind;yes
Point (10.46125119999999953 54.35170620000000241);wind;
Point (9.53314179999999922 53.43838740000000342);wind;600
Point (10.40280749999999976 54.82818079999999838);wind;yes
Point (9.4625547000000001 53.52138320000000249);wind;
Point (9.53019339999999993 53.43921869999999785);wind;600
Point (9.61140550000000005 53.45723360000000213);wind;1.65
Point (9.46612790000000004 53.52365170000000205);wind;
Point (9.4493898999999999 53.63760690000000153);wind;
Point (9.60415959999999913 53.46102849999999762);wind;1.65
Point (9.45056029999999936 53.64256420000000247);wind;
Point (9.45001360000000012 53.64000500000000216);wind;
Point (9.45169130000000024 53.64750320000000272);wind;
Point (9.45108809999999977 53.64497790000000066);wind;
Point (8.93739249999999963 54.5881046000000012);wind;2
Point (9.03594189999999919 54.46886640000000313);wind;
Point (8.93260790000000071 54.58431470000000019);wind;2
Point (8.94021490000000085 54.58568540000000269);wind;2
Point (9.59617330000000024 54.67391150000000266);wind;
Point (8.59151929999999986 53.67589720000000142);wind;1500
Point (9.59808010000000067 54.673014000000002);wind;
Point (9.59857039999999984 54.67130769999999984);wind;
Point (8.54270939999999968 53.59609689999999915);wind;5
Point (9.59869699999999959 54.66961049999999744);wind;
Point (8.56521990000000066 53.51337509999999753);wind;
Point (8.62296689999999977 53.56122890000000325);wind;5
Point (9.53536500000000053 53.79124019999999717);wind;1.5
Point (8.56434999999999924 53.51210489999999709);wind;
Point (9.52604919999999922 53.79488309999999984);wind;
Point (9.53092340000000071 53.79366619999999699);wind;
Point (8.89371580000000073 54.24001200000000011);wind;
Point (9.52915340000000022 53.79075360000000217);wind;
Point (9.26066289999999981 53.79401380000000188);wind;2000
Point (8.90477349999999923 54.24661520000000081);wind;
Point (9.24257380000000062 53.79111650000000111);wind;2000
Point (9.2364733999999995 53.79131929999999784);wind;2000
Point (9.25610919999999915 53.7905791000000022);wind;2000
Point (9.24932010000000027 53.79085890000000347);wind;2000
Point (9.24458379999999913 53.79714849999999871);wind;1500
Point (9.25133240000000079 53.79908470000000165);wind;1500
Point (9.25428989999999985 53.79618940000000293);wind;1500
Point (9.23937409999999915 53.79455440000000266);wind;1500
Point (9.1493739000000005 53.794158699999997);wind;1500
Point (9.15500300000000067 53.79251310000000075);wind;2000
Point (9.67992279999999994 54.76031449999999978);wind;
Point (9.14888520000000049 53.79186610000000002);wind;1500
Point (11.04548400000000008 54.50448430000000144);wind;2300
Point (11.06432539999999953 54.52475259999999935);wind;500
Point (11.05238740000000064 54.5063405000000003);wind;
Point (11.04552739999999922 54.50811589999999995);wind;
Point (11.05714440000000032 54.51145629999999898);wind;2300
Point (11.05882509999999996 54.50868280000000254);wind;2300
Point (11.05571259999999967 54.51460939999999766);wind;2300
Point (11.05269320000000022 54.50914329999999808);wind;2300
Point (11.0641247000000007 54.51014959999999832);wind;2300
Point (11.06468190000000007 54.50803189999999887);wind;2300
Point (11.04730190000000078 54.51091250000000343);wind;
Point (11.06353280000000083 54.51228590000000196);wind;2300
Point (11.06186100000000039 54.51473049999999887);wind;
Point (11.04877319999999941 54.51363020000000148);wind;
Point (11.06026999999999916 54.50625850000000128);wind;2300
